sku_id,on_hand_units,on_order_units,lead_time_days,lead_time_demand,forward_demand,projected_stock_at_lead_time,stockout_risk,overstock_risk,quadrant,recommended_action,sales_at_risk_value,capital_locked_value,value_at_stake,sku_name_x,category_x,sku_name_y,category_y
SKU03602,5575.0,0.0,14.0,7.53,47.71,5567.47,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,6539996.44,6539996.44,MetroBrand Men's Wear 1kg,Apparel & Footwear,MetroBrand Men's Wear 1kg,Apparel & Footwear
SKU00170,7177.0,0.0,14.0,6.58,46.89,7170.42,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,6484051.95,6484051.95,ZestyCo Men's Wear 2L,Apparel & Footwear,ZestyCo Men's Wear 2L,Apparel & Footwear
SKU04212,5905.0,0.0,14.0,8.68,43.62,5896.32,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,6415340.85,6415340.85,GoldenHarvest Footwear 2L,Apparel & Footwear,GoldenHarvest Footwear 2L,Apparel & Footwear
SKU03058,8412.0,0.0,14.0,8.7,51.14,8403.3,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,6403246.3,6403246.3,UrbanBite Women's Wear Pack of 12,Apparel & Footwear,UrbanBite Women's Wear Pack of 12,Apparel & Footwear
SKU02907,5528.0,0.0,14.0,7.23,45.42,5520.77,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,6318021.3,6318021.3,NovaFresh Kids Wear Large,Apparel & Footwear,NovaFresh Kids Wear Large,Apparel & Footwear
SKU04250,6102.0,0.0,14.0,7.68,46.8,6094.32,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,6300985.13,6300985.13,PureLife OTC Medicine 1kg,Health & Wellness,PureLife OTC Medicine 1kg,Health & Wellness
SKU04665,6681.0,0.0,14.0,7.43,47.29,6673.57,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,6108718.18,6108718.18,TrueTaste Batteries Family Pack,Electronics & Accessories,TrueTaste Batteries Family Pack,Electronics & Accessories
SKU01830,6825.0,0.0,14.0,7.01,45.31,6817.99,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,6097584.52,6097584.52,SunriseFoods Women's Wear Pack of 12,Apparel & Footwear,SunriseFoods Women's Wear Pack of 12,Apparel & Footwear
SKU02211,7710.0,0.0,14.0,7.08,45.48,7702.92,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,5975262.45,5975262.45,NovaFresh Vitamins & Supplements 500g,Health & Wellness,NovaFresh Vitamins & Supplements 500g,Health & Wellness
SKU04747,7333.0,0.0,14.0,7.99,46.2,7325.01,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,5855304.45,5855304.45,EliteHome Home Decor 100g,Home & Kitchen,EliteHome Home Decor 100g,Home & Kitchen
SKU02946,4371.0,0.0,14.0,7.02,44.91,4363.98,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,5842986.82,5842986.82,ValueChoice Women's Wear 500ml,Apparel & Footwear,ValueChoice Women's Wear 500ml,Apparel & Footwear
SKU01104,7108.0,0.0,14.0,6.95,45.65,7101.05,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,5835124.33,5835124.33,TrueTaste Kids Wear 500ml,Apparel & Footwear,TrueTaste Kids Wear 500ml,Apparel & Footwear
SKU04854,5340.0,0.0,14.0,7.28,45.2,5332.72,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,5806117.38,5806117.38,SparkleClean Batteries Pack of 12,Electronics & Accessories,SparkleClean Batteries Pack of 12,Electronics & Accessories
SKU01762,3637.0,0.0,14.0,7.33,46.38,3629.67,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,5797780.15,5797780.15,QuickBite Home Decor 250g,Home & Kitchen,QuickBite Home Decor 250g,Home & Kitchen
SKU04388,5379.0,0.0,14.0,8.67,43.3,5370.33,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,5647195.11,5647195.11,SmartBuy Mobile Accessories Pack of 12,Electronics & Accessories,SmartBuy Mobile Accessories Pack of 12,Electronics & Accessories
SKU03115,9759.0,0.0,14.0,6.99,44.82,9752.01,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,5646851.5,5646851.5,NutriPlus Frozen Vegetables 100g,Frozen Foods,NutriPlus Frozen Vegetables 100g,Frozen Foods
SKU03251,4674.0,0.0,14.0,8.53,43.75,4665.47,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,5636677.55,5636677.55,SmartBuy Kids Wear 1L,Apparel & Footwear,SmartBuy Kids Wear 1L,Apparel & Footwear
SKU01038,6977.0,0.0,14.0,6.94,45.21,6970.06,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,5559853.56,5559853.56,NovaFresh OTC Medicine Family Pack,Health & Wellness,NovaFresh OTC Medicine Family Pack,Health & Wellness
SKU02997,6620.0,0.0,14.0,8.28,46.64,6611.72,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,5481851.67,5481851.67,FreshFarm OTC Medicine 250g,Health & Wellness,FreshFarm OTC Medicine 250g,Health & Wellness
SKU04831,8159.0,0.0,14.0,7.81,50.82,8151.19,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,5450316.99,5450316.99,HomeStyle Storage & Containers 250ml,Home & Kitchen,HomeStyle Storage & Containers 250ml,Home & Kitchen
SKU04887,7218.0,0.0,14.0,6.89,45.3,7211.11,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,5362669.22,5362669.22,SmartBuy Storage & Containers 1L,Home & Kitchen,SmartBuy Storage & Containers 1L,Home & Kitchen
SKU00052,5399.0,0.0,14.0,9.8,48.89,5389.2,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,5177193.36,5177193.36,ValueChoice Storage & Containers Family Pack,Home & Kitchen,ValueChoice Storage & Containers Family Pack,Home & Kitchen
SKU01605,7934.0,0.0,14.0,6.98,45.16,7927.02,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,5139581.18,5139581.18,EverydayPlus First Aid 500g,Health & Wellness,EverydayPlus First Aid 500g,Health & Wellness
SKU00186,4390.0,0.0,14.0,8.68,53.89,4381.32,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,5139112.91,5139112.91,TrueTaste Men's Wear 250ml,Apparel & Footwear,TrueTaste Men's Wear 250ml,Apparel & Footwear
SKU04879,5020.0,0.0,14.0,7.04,44.86,5012.96,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,5136529.59,5136529.59,SunriseFoods Small Appliances 250ml,Electronics & Accessories,SunriseFoods Small Appliances 250ml,Electronics & Accessories
SKU01911,6157.0,0.0,14.0,7.12,44.93,6149.88,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,5121607.06,5121607.06,PrimeCare Storage & Containers 2L,Home & Kitchen,PrimeCare Storage & Containers 2L,Home & Kitchen
SKU03805,5339.0,0.0,14.0,7.68,46.31,5331.32,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,5095382.2,5095382.2,FamilyChoice OTC Medicine Large,Health & Wellness,FamilyChoice OTC Medicine Large,Health & Wellness
SKU03627,6880.0,0.0,14.0,6.73,45.01,6873.27,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,5027477.14,5027477.14,HealthFirst Ready Meals 1kg,Frozen Foods,HealthFirst Ready Meals 1kg,Frozen Foods
SKU04152,6454.0,0.0,14.0,7.18,45.0,6446.82,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,4930957.81,4930957.81,ValueChoice OTC Medicine Medium,Health & Wellness,ValueChoice OTC Medicine Medium,Health & Wellness
SKU01766,7095.0,0.0,14.0,6.93,44.79,7088.07,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,4869155.39,4869155.39,DailyBest Ready Meals Large,Frozen Foods,DailyBest Ready Meals Large,Frozen Foods
SKU02209,7739.0,0.0,14.0,8.59,48.41,7730.41,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,4863606.3,4863606.3,CityFresh OTC Medicine Pack of 12,Health & Wellness,CityFresh OTC Medicine Pack of 12,Health & Wellness
SKU04491,7041.0,0.0,14.0,6.98,45.16,7034.02,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,4802856.06,4802856.06,CrispKing Storage & Containers Small,Home & Kitchen,CrispKing Storage & Containers Small,Home & Kitchen
SKU00449,4968.0,0.0,14.0,6.97,44.83,4961.03,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,4775077.26,4775077.26,PremiumSelect OTC Medicine 250g,Health & Wellness,PremiumSelect OTC Medicine 250g,Health & Wellness
SKU04652,6491.0,0.0,14.0,7.37,47.7,6483.63,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,4762954.42,4762954.42,ValueChoice First Aid 1kg,Health & Wellness,ValueChoice First Aid 1kg,Health & Wellness
SKU02408,5128.0,0.0,14.0,6.87,45.23,5121.13,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,4742273.37,4742273.37,TrueTaste Home Decor Medium,Home & Kitchen,TrueTaste Home Decor Medium,Home & Kitchen
SKU04392,5951.0,0.0,14.0,7.19,45.74,5943.81,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,4557975.98,4557975.98,PremiumSelect First Aid 250ml,Health & Wellness,PremiumSelect First Aid 250ml,Health & Wellness
SKU00507,3971.0,0.0,14.0,7.15,45.91,3963.85,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,4524133.14,4524133.14,HealthFirst Footwear 500ml,Apparel & Footwear,HealthFirst Footwear 500ml,Apparel & Footwear
SKU00401,6600.0,0.0,14.0,6.98,44.91,6593.02,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,4489974.63,4489974.63,CityFresh Kids Wear Large,Apparel & Footwear,CityFresh Kids Wear Large,Apparel & Footwear
SKU00354,6648.0,0.0,14.0,8.1,49.1,6639.9,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,4487913.49,4487913.49,PurePlus Home Decor 2kg,Home & Kitchen,PurePlus Home Decor 2kg,Home & Kitchen
SKU02780,7891.0,0.0,14.0,6.94,46.1,7884.06,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,4468926.48,4468926.48,ValueChoice First Aid 250ml,Health & Wellness,ValueChoice First Aid 250ml,Health & Wellness
SKU03740,4008.0,0.0,14.0,7.86,50.07,4000.14,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,4452349.02,4452349.02,SoftTouch Men's Wear Pack of 12,Apparel & Footwear,SoftTouch Men's Wear Pack of 12,Apparel & Footwear
SKU01592,4157.0,0.0,14.0,7.2,46.29,4149.8,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,4425833.87,4425833.87,QuickBite Small Appliances 500ml,Electronics & Accessories,QuickBite Small Appliances 500ml,Electronics & Accessories
SKU03210,5438.0,0.0,14.0,7.67,47.27,5430.33,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,4368488.88,4368488.88,EverydayPlus Ready Meals 100g,Frozen Foods,EverydayPlus Ready Meals 100g,Frozen Foods
SKU03504,7523.0,0.0,14.0,8.68,43.92,7514.32,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,4308695.95,4308695.95,NovaFresh Frozen Vegetables 1L,Frozen Foods,NovaFresh Frozen Vegetables 1L,Frozen Foods
SKU03803,7305.0,0.0,14.0,7.0,45.2,7298.0,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,4219322.1,4219322.1,SparkleClean Batteries Pack of 12,Electronics & Accessories,SparkleClean Batteries Pack of 12,Electronics & Accessories
SKU00631,4440.0,0.0,14.0,6.94,45.48,4433.06,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,4196241.16,4196241.16,CrispKing Cookware 250g,Home & Kitchen,CrispKing Cookware 250g,Home & Kitchen
SKU04726,7465.0,0.0,14.0,7.1,45.69,7457.9,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,4060958.78,4060958.78,CleanWave OTC Medicine 2kg,Health & Wellness,CleanWave OTC Medicine 2kg,Health & Wellness
SKU03454,7548.0,0.0,14.0,7.01,44.98,7540.99,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,4004212.73,4004212.73,QuickBite OTC Medicine 250ml,Health & Wellness,QuickBite OTC Medicine 250ml,Health & Wellness
SKU04741,4650.0,0.0,14.0,7.09,45.34,4642.91,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,3998498.56,3998498.56,TrueTaste Storage & Containers 500g,Home & Kitchen,TrueTaste Storage & Containers 500g,Home & Kitchen
SKU03414,6622.0,0.0,14.0,7.5,47.91,6614.5,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,3976209.18,3976209.18,SoftTouch Women's Wear Family Pack,Apparel & Footwear,SoftTouch Women's Wear Family Pack,Apparel & Footwear
SKU01310,8360.0,0.0,14.0,6.99,45.28,8353.01,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,3973188.07,3973188.07,FreshFarm Frozen Meat Pack of 6,Frozen Foods,FreshFarm Frozen Meat Pack of 6,Frozen Foods
SKU01167,3823.0,0.0,14.0,7.04,46.19,3815.96,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,3894155.77,3894155.77,UrbanBite Small Appliances Small,Electronics & Accessories,UrbanBite Small Appliances Small,Electronics & Accessories
SKU00732,6454.0,0.0,14.0,6.83,45.2,6447.17,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,3858992.82,3858992.82,GreenValley Home Decor 500g,Home & Kitchen,GreenValley Home Decor 500g,Home & Kitchen
SKU01433,8401.0,0.0,14.0,7.67,46.18,8393.33,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,3858255.77,3858255.77,GreenValley Ice Cream Family Pack,Frozen Foods,GreenValley Ice Cream Family Pack,Frozen Foods
SKU01046,6747.0,0.0,14.0,7.26,46.1,6739.74,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,3755317.0,3755317.0,PrimeCare First Aid 1L,Health & Wellness,PrimeCare First Aid 1L,Health & Wellness
SKU00638,5795.0,0.0,14.0,7.7,49.23,5787.3,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,3732684.89,3732684.89,EverydayPlus Batteries 500g,Electronics & Accessories,EverydayPlus Batteries 500g,Electronics & Accessories
SKU03848,4695.0,0.0,14.0,7.4,46.45,4687.6,0.0,1.0,Markdown / clear,Promote or discount excess inventory to free up capital.,0.0,3646413.56,3646413.56,PremiumSelect Home Decor Family Pack,Home & Kitchen,PremiumSelect Home Decor Family Pack,Home & Kitchen
